"filename", "language", "Go Checksum File", "Markdown", "Go Module File", "JSON", "Go", "XML", "comment", "blank", "total"
"e:\goland\project\awesomeProxy\.idea\awesomeProxy.iml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 9
"e:\goland\project\awesomeProxy\.idea\modules.xml", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 8
"e:\goland\project\awesomeProxy\.idea\statistic.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 6
"e:\goland\project\awesomeProxy\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 6
"e:\goland\project\awesomeProxy\Cert\WindowsCA.go", "Go", 0, 0, 0, 0, 49, 0, 8, 11, 68
"e:\goland\project\awesomeProxy\Constant\Certificate.go", "Go", 0, 0, 0, 0, 1, 0, 0, 1, 2
"e:\goland\project\awesomeProxy\Contract\IServerProcesser.go", "Go", 0, 0, 0, 0, 4, 0, 0, 4, 8
"e:\goland\project\awesomeProxy\Core\Certificate.go", "Go", 0, 0, 0, 0, 168, 0, 10, 10, 188
"e:\goland\project\awesomeProxy\Core\ConnPeer.go", "Go", 0, 0, 0, 0, 11, 0, 0, 3, 14
"e:\goland\project\awesomeProxy\Core\ProxyHttp.go", "Go", 0, 0, 0, 0, 428, 0, 42, 21, 491
"e:\goland\project\awesomeProxy\Core\ProxyServer.go", "Go", 0, 0, 0, 0, 99, 0, 5, 12, 116
"e:\goland\project\awesomeProxy\Core\ProxySocket5.go", "Go", 0, 0, 0, 0, 246, 0, 21, 11, 278
"e:\goland\project\awesomeProxy\Core\ProxyTcp.go", "Go", 0, 0, 0, 0, 91, 0, 2, 6, 99
"e:\goland\project\awesomeProxy\Core\Storage.go", "Go", 0, 0, 0, 0, 67, 0, 4, 9, 80
"e:\goland\project\awesomeProxy\Core\Websocket\Client.go", "Go", 0, 0, 0, 0, 271, 0, 74, 51, 396
"e:\goland\project\awesomeProxy\Core\Websocket\ClientClone.go", "Go", 0, 0, 0, 0, 8, 0, 4, 5, 17
"e:\goland\project\awesomeProxy\Core\Websocket\ClientCloneLegacy.go", "Go", 0, 0, 0, 0, 26, 0, 8, 5, 39
"e:\goland\project\awesomeProxy\Core\Websocket\Compression.go", "Go", 0, 0, 0, 0, 117, 0, 11, 21, 149
"e:\goland\project\awesomeProxy\Core\Websocket\Conn.go", "Go", 0, 0, 0, 0, 876, 0, 171, 155, 1202
"e:\goland\project\awesomeProxy\Core\Websocket\ConnWrite.go", "Go", 0, 0, 0, 0, 7, 0, 4, 5, 16
"e:\goland\project\awesomeProxy\Core\Websocket\ConnWriteLegacy.go", "Go", 0, 0, 0, 0, 11, 0, 4, 4, 19
"e:\goland\project\awesomeProxy\Core\Websocket\Doc.go", "Go", 0, 0, 0, 0, 1, 0, 225, 2, 228
"e:\goland\project\awesomeProxy\Core\Websocket\Join.go", "Go", 0, 0, 0, 0, 31, 0, 6, 6, 43
"e:\goland\project\awesomeProxy\Core\Websocket\Json.go", "Go", 0, 0, 0, 0, 34, 0, 20, 7, 61
"e:\goland\project\awesomeProxy\Core\Websocket\Mask.go", "Go", 0, 0, 0, 0, 35, 0, 9, 11, 55
