"filename", "language", "Markdown", "Go Checksum File", "Go", "Go Module File", "Python", "JSON", "XML", "comment", "blank", "total"
"e:\goland\project\awesomeProxy\.idea\awesomeProxy.iml", "XML", 0, 0, 0, 0, 0, 0, 17, 0, 0, 17
"e:\goland\project\awesomeProxy\.idea\modules.xml", "XML", 0, 0, 0, 0, 0, 0, 8, 0, 0, 8
"e:\goland\project\awesomeProxy\.idea\statistic.xml", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"e:\goland\project\awesomeProxy\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"e:\goland\project\awesomeProxy\AsCache\ascache.go", "Go", 0, 0, 89, 0, 0, 0, 0, 9, 18, 116
"e:\goland\project\awesomeProxy\AsCache\byteview.go", "Go", 0, 0, 18, 0, 0, 0, 0, 4, 6, 28
"e:\goland\project\awesomeProxy\AsCache\cache.go", "Go", 0, 0, 29, 0, 0, 0, 0, 0, 7, 36
"e:\goland\project\awesomeProxy\AsCache\consistenthash\consistenthash.go", "Go", 0, 0, 44, 0, 0, 0, 0, 11, 9, 64
"e:\goland\project\awesomeProxy\AsCache\consistenthash\consistenthash_test.go", "Go", 0, 0, 30, 0, 0, 0, 0, 4, 10, 44
"e:\goland\project\awesomeProxy\AsCache\lru\lru.go", "Go", 0, 0, 62, 0, 0, 0, 0, 9, 11, 82
"e:\goland\project\awesomeProxy\AsCache\lru\lru_test.go", "Go", 0, 0, 54, 0, 0, 0, 0, 0, 12, 66
"e:\goland\project\awesomeProxy\AsCache\peers.go", "Go", 0, 0, 7, 0, 0, 0, 0, 3, 3, 13
"e:\goland\project\awesomeProxy\Cert\WindowsCA.go", "Go", 0, 0, 49, 0, 0, 0, 0, 8, 11, 68
"e:\goland\project\awesomeProxy\Constant\Certificate.go", "Go", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"e:\goland\project\awesomeProxy\Contract\IServerProcesser.go", "Go", 0, 0, 4, 0, 0, 0, 0, 0, 4, 8
"e:\goland\project\awesomeProxy\Core\Certificate.go", "Go", 0, 0, 168, 0, 0, 0, 0, 10, 10, 188
"e:\goland\project\awesomeProxy\Core\ConnPeer.go", "Go", 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"e:\goland\project\awesomeProxy\Core\ProxyHttp.go", "Go", 0, 0, 458, 0, 0, 0, 0, 41, 26, 525
"e:\goland\project\awesomeProxy\Core\ProxyServer.go", "Go", 0, 0, 108, 0, 0, 0, 0, 5, 14, 127
"e:\goland\project\awesomeProxy\Core\ProxySocket5.go", "Go", 0, 0, 260, 0, 0, 0, 0, 21, 12, 293
"e:\goland\project\awesomeProxy\Core\ProxyTcp.go", "Go", 0, 0, 97, 0, 0, 0, 0, 3, 6, 106
"e:\goland\project\awesomeProxy\Core\Storage.go", "Go", 0, 0, 67, 0, 0, 0, 0, 4, 9, 80
"e:\goland\project\awesomeProxy\Core\Websocket\Client.go", "Go", 0, 0, 282, 0, 0, 0, 0, 74, 52, 408
"e:\goland\project\awesomeProxy\Core\Websocket\ClientClone.go", "Go", 0, 0, 8, 0, 0, 0, 0, 4, 5, 17
"e:\goland\project\awesomeProxy\Core\Websocket\ClientCloneLegacy.go", "Go", 0, 0, 26, 0, 0, 0, 0, 8, 5, 39
"e:\goland\project\awesomeProxy\Core\Websocket\Compression.go", "Go", 0, 0, 117, 0, 0, 0, 0, 11, 21, 149
"e:\goland\project\awesomeProxy\Core\Websocket\Conn.go", "Go", 0, 0, 876, 0, 0, 0, 0, 171, 155, 1202
"e:\goland\project\awesomeProxy\Core\Websocket\ConnWrite.go", "Go", 0, 0, 7, 0, 0, 0, 0, 4, 5, 16
"e:\goland\project\awesomeProxy\Core\Websocket\ConnWriteLegacy.go", "Go", 0, 0, 11, 0, 0, 0, 0, 4, 4, 19
"e:\goland\project\awesomeProxy\Core\Websocket\Doc.go", "Go", 0, 0, 1, 0, 0, 0, 0, 225, 2, 228
"e:\goland\project\awesomeProxy\Core\Websocket\Join.go", "Go", 0, 0, 31, 0, 0, 0, 0, 6, 6, 43
"e:\goland\project\awesomeProxy\Core\Websocket\Json.go", "Go", 0, 0, 34, 0, 0, 0, 0, 20, 7, 61
"e:\goland\project\awesomeProxy\Core\Websocket\Mask.go", "Go", 0, 0, 35, 0, 0, 0, 0, 9, 11, 55
"e:\goland\project\awesomeProxy\Core\Websocket\MaskSafe.go", "Go", 0, 0, 8, 0, 0, 0, 0, 4, 4, 16
"e:\goland\project\awesomeProxy\Core\Websocket\Prepared.go", "Go", 0, 0, 70, 0, 0, 0, 0, 20, 13, 103
"e:\goland\project\awesomeProxy\Core\Websocket\Proxy.go", "Go", 0, 0, 60, 0, 0, 0, 0, 5, 13, 78
"e:\goland\project\awesomeProxy\Core\Websocket\Server.go", "Go", 0, 0, 213, 0, 0, 0, 0, 111, 44, 368
"e:\goland\project\awesomeProxy\Core\Websocket\Trace.go", "Go", 0, 0, 15, 0, 0, 0, 0, 1, 4, 20
"e:\goland\project\awesomeProxy\Core\Websocket\Trace_17.go", "Go", 0, 0, 8, 0, 0, 0, 0, 1, 4, 13
"e:\goland\project\awesomeProxy\Core\Websocket\Util.go", "Go", 0, 0, 244, 0, 0, 0, 0, 26, 14, 284
"e:\goland\project\awesomeProxy\Core\Websocket\XnetProxy.go", "Go", 0, 0, 352, 0, 0, 0, 0, 57, 65, 474
"e:\goland\project\awesomeProxy\Log\Logger.go", "Go", 0, 0, 548, 0, 0, 0, 0, 46, 61, 655
"e:\goland\project\awesomeProxy\PyTest\Re_pachong.py", "Python", 0, 0, 0, 0, 21, 0, 0, 8, 6, 35
"e:\goland\project\awesomeProxy\README.md", "Markdown", 107, 0, 0, 0, 0, 0, 0, 0, 32, 139
"e:\goland\project\awesomeProxy\Reproxy\UnCrawler.go", "Go", 0, 0, 105, 0, 0, 0, 0, 20, 16, 141
"e:\goland\project\awesomeProxy\Reproxy\ascii\print.go", "Go", 0, 0, 44, 0, 0, 0, 0, 10, 8, 62
"e:\goland\project\awesomeProxy\Reproxy\ascii\print_test.go", "Go", 0, 0, 88, 0, 0, 0, 0, 3, 5, 96
"e:\goland\project\awesomeProxy\Reproxy\handle.go", "Go", 0, 0, 71, 0, 0, 0, 0, 40, 12, 123
"e:\goland\project\awesomeProxy\Reproxy\httpguts\guts.go", "Go", 0, 0, 35, 0, 0, 0, 0, 11, 5, 51
"e:\goland\project\awesomeProxy\Reproxy\httpguts\httplex.go", "Go", 0, 0, 230, 0, 0, 0, 0, 98, 25, 353
"e:\goland\project\awesomeProxy\Reproxy\reverseproxy.go", "Go", 0, 0, 660, 0, 0, 0, 0, 253, 99, 1012
"e:\goland\project\awesomeProxy\Utils\Utils.go", "Go", 0, 0, 122, 0, 0, 0, 0, 2, 14, 138
"e:\goland\project\awesomeProxy\balance\balance_mgr.go", "Go", 0, 0, 24, 0, 0, 0, 0, 0, 7, 31
"e:\goland\project\awesomeProxy\balance\blancer.go", "Go", 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"e:\goland\project\awesomeProxy\balance\hash_balance.go", "Go", 0, 0, 27, 0, 0, 0, 0, 1, 8, 36
"e:\goland\project\awesomeProxy\balance\instance.go", "Go", 0, 0, 29, 0, 0, 0, 0, 0, 8, 37
"e:\goland\project\awesomeProxy\balance\random_balance.go", "Go", 0, 0, 20, 0, 0, 0, 0, 1, 7, 28
"e:\goland\project\awesomeProxy\balance\round_robin_balance.go", "Go", 0, 0, 23, 0, 0, 0, 0, 1, 9, 33
"e:\goland\project\awesomeProxy\balance\shuffle2_balance.go", "Go", 0, 0, 26, 0, 0, 0, 0, 2, 9, 37
"e:\goland\project\awesomeProxy\balance\shuffle_balance.go", "Go", 0, 0, 26, 0, 0, 0, 0, 2, 9, 37
"e:\goland\project\awesomeProxy\balance\weight_round_robin.go", "Go", 0, 0, 65, 0, 0, 0, 0, 4, 15, 84
"e:\goland\project\awesomeProxy\config.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 23
"e:\goland\project\awesomeProxy\config\ConfigInit.go", "Go", 0, 0, 178, 0, 0, 0, 0, 12, 16, 206
"e:\goland\project\awesomeProxy\go.mod", "Go Module File", 0, 0, 0, 10, 0, 0, 0, 0, 4, 14
"e:\goland\project\awesomeProxy\go.sum", "Go Checksum File", 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
