"filename", "language", "Go", "C", "Markdown", "JSON", "comment", "blank", "total"
"e:\goland\project\awesomeProxy\README.md", "Markdown", 0, 0, 1, 0, 0, 0, 1
"e:\goland\project\awesomeProxy\Report\GetRe.go", "Go", 3, 0, 0, 0, 0, 3, 6
"e:\goland\project\awesomeProxy\Report\Re\DataFile.json", "JSON", 0, 0, 0, 48, 0, 0, 48
"e:\goland\project\awesomeProxy\Report\RpConfig.go", "Go", 106, 0, 0, 0, 1, 6, 113
"e:\goland\project\awesomeProxy\Report\WindowsStatus.c", "C", 0, 0, 0, 0, 147, 0, 147
"e:\goland\project\awesomeProxy\Report\WindowsStatus.go", "Go", 11, 0, 0, 0, 149, 3, 163
"e:\goland\project\awesomeProxy\Reproxy\handle.go", "Go", 0, 0, 0, 0, -34, -1, -35
"e:\goland\project\awesomeProxy\Reproxy\reverseproxy.go", "Go", 20, 0, 0, 0, 2, 1, 23
"e:\goland\project\awesomeProxy\config\ConfigInit.go", "Go", 3, 0, 0, 0, 1, 0, 4
"Total", "-", 143, 0, 1, 48, 266, 12, 470
