"filename", "language", "Markdown", "Go", "comment", "blank", "total"
"e:\goland\project\awesomeProxy\Core\Cache.go", "Go", 0, 67, 4, 9, 80
"e:\goland\project\awesomeProxy\Core\ProxyHttp.go", "Go", 0, -4, 1, 1, -2
"e:\goland\project\awesomeProxy\Core\ProxyServer.go", "Go", 0, 26, 0, 0, 26
"e:\goland\project\awesomeProxy\Core\ProxySocket5.go", "Go", 0, -4, 0, 1, -3
"e:\goland\project\awesomeProxy\Core\ProxyTcp.go", "Go", 0, -3, -1, 1, -3
"e:\goland\project\awesomeProxy\Core\Storage.go", "Go", 0, -67, -4, -9, -80
"e:\goland\project\awesomeProxy\README.md", "Markdown", 9, 0, 0, 6, 15
"e:\goland\project\awesomeProxy\Utils\Utils.go", "Go", 0, -76, -1, -9, -86
"e:\goland\project\awesomeProxy\Utils\Windows.go", "Go", 0, 109, 2, 11, 122
"e:\goland\project\awesomeProxy\ac_automaton\SensitiveWordFiltering.go", "Go", 0, 4, 0, 4, 8
"e:\goland\project\awesomeProxy\ac_automaton\ac.go", "Go", 0, 26, 1, 1, 28
"e:\goland\project\awesomeProxy\config\ConfigInit.go", "Go", 0, 2, 0, 0, 2
"e:\goland\project\awesomeProxy\main.go", "Go", 0, 20, -5, 5, 20
"Total", "-", 9, 100, -3, 21, 127
